siekiera,ok,skrzynia
siekiera,lekko uszkodzona => na obuch,skrzynia
młotek 1000g,ok,skrzynia
młotek 700g,ok,skrzynia
piła płatnica niebieska,ok,skrzynia
kociołek,ok,Filip
FatMax,ok,skrzynia
miara stanley 5m,ok,skrzynia
